,Experience (YY.MM),Age in YY.,Stay/Left,New Location,New Promotion,New Job Role Match,Agency,Direct,Employee Referral,Marr.,Single,other status,B1,B2,B3,other group,< =1,> 1 & < =3,Operation,Sales,Support,Female,Male,other
75,15.06,36.02,Stay,5,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0
76,5.03,26.07,Left,3,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
77,10.06,33.0,Stay,5,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
78,6.07,28.06,Stay,3,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
79,8.06,31.05,Stay,3,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
80,4.11,25.02,Left,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
81,3.06,27.06,Stay,3,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
82,0.09,27.1,Stay,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
83,12.07,35.12,Stay,6,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
84,7.06,34.07,Stay,5,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
85,2.07,27.09,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
86,13.1,36.07,Stay,5,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
87,1.09,24.08,Stay,5,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
88,8.01,36.1,Left,6,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
89,0.07,26.07,Left,7,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
90,5.07,29.1,Stay,6,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
91,12.07,38.09,Stay,5,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
92,10.07,41.0,Stay,5,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
